Camera,Chamber_Column,Plate_position,Plate,WellID,StrainID,Status,NitrogenHistory,SalineHistory,ContSaline,Rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
C,3,plate1,45,b04,St22,Evolved,Low,High,High,2,10952,0.404746768,1,20,1.833333333,45 b04,10.952
C,3,plate1,45,b05,St42,Evolved,High,Low,High,2,12793,0.39634862,1,20,1.833333333,45 b05,12.793
C,3,plate1,45,b06,St63,Evolved,High,High,High,2,14777,0.397523636,1,20,1.833333333,45 b06,14.777
C,3,plate1,45,c01,St3,Evolved,Low,Low,High,2,12427,0.419463391,1,20,1.833333333,45 c01,12.427
C,3,plate1,45,c02,St23,Evolved,Low,High,High,2,10163,0.414507783,1,20,1.833333333,45 c02,10.163
C,3,plate1,45,c03,St43,Evolved,High,Low,High,2,14831,0.377532602,1,20,1.833333333,45 c03,14.831
C,3,plate1,45,c04,St64,Evolved,High,High,High,2,13795,0.411884401,1,20,1.833333333,45 c04,13.795
C,3,plate1,45,c06,St24,Evolved,Low,High,High,2,13987,0.394131692,1,20,1.833333333,45 c06,13.987
C,3,plate1,45,d01,St44,Evolved,High,Low,High,2,10467,0.403190773,1,20,1.833333333,45 d01,10.467
C,3,plate1,45,d02,St65,Evolved,High,High,High,2,7904,0.372809544,1,20,1.833333333,45 d02,7.904
C,3,plate1,45,d04,St25,Evolved,Low,High,High,2,8561,0.396547441,1,20,1.833333333,45 d04,8.561
C,3,plate1,45,d05,St45,Evolved,High,Low,High,2,12918,0.398809207,1,20,1.833333333,45 d05,12.918
C,3,plate1,45,d06,St67,Evolved,High,High,High,2,4464,0.380117934,1,20,1.833333333,45 d06,4.464
A,3,plate1,46,a01,Ancestor,Ancestor,NA,NA,High,2,10498,0.393548595,1,20,1.833333333,46 a01,10.498
A,3,plate1,46,a03,Sterile,Sterile,NA,NA,High,2,8311,0.39863684,1,20,1.833333333,46 a03,8.311
A,3,plate1,46,a04,Sterile,Sterile,NA,NA,High,2,11574,0.401233433,1,20,1.833333333,46 a04,11.574
A,3,plate1,46,b01,St46,Evolved,High,Low,High,2,12121,0.396797947,1,20,1.833333333,46 b01,12.121
A,3,plate1,46,b02,St69,Evolved,High,High,High,2,9058,0.388611151,1,20,1.833333333,46 b02,9.058
A,3,plate1,46,b03,St7,Evolved,Low,Low,High,2,12407,0.39460689,1,20,1.833333333,46 b03,12.407
A,3,plate1,46,b05,St47,Evolved,High,Low,High,2,9637,0.403965175,1,20,1.833333333,46 b05,9.637
A,3,plate1,46,b06,St70,Evolved,High,High,High,2,9661,0.395214176,1,20,1.833333333,46 b06,9.661
A,3,plate1,46,c01,St8,Evolved,Low,Low,High,2,5065,0.384624138,1,20,1.833333333,46 c01,5.065
A,3,plate1,46,c03,St48,Evolved,High,Low,High,2,9516,0.393138094,1,20,1.833333333,46 c03,9.516
A,3,plate1,46,c05,St9,Evolved,Low,Low,High,2,9973,0.397547049,1,20,1.833333333,46 c05,9.973
A,3,plate1,46,d01,St49,Evolved,High,Low,High,2,10675,0.385100261,1,20,1.833333333,46 d01,10.675
A,3,plate1,46,d05,St50,Evolved,High,Low,High,2,3851,0.384921072,1,20,1.833333333,46 d05,3.851
C,4,plate2,47,b04,St32,Evolved,Low,High,High,2,13073,0.400203458,1,20,1.833333333,47 b04,13.073
C,4,plate2,47,c01,St13,Evolved,Low,Low,High,2,11920,0.399641252,1,20,1.833333333,47 c01,11.92
C,4,plate2,47,c02,St33,Evolved,Low,High,High,2,12173,0.407034842,1,20,1.833333333,47 c02,12.173
C,4,plate2,47,c05,St14,Evolved,Low,Low,High,2,7252,0.393929752,1,20,1.833333333,47 c05,7.252
C,4,plate2,47,d03,St15,Evolved,Low,Low,High,2,7481,0.390435347,1,20,1.833333333,47 d03,7.481
A,4,plate2,48,b04,St37,Evolved,Low,High,High,2,10829,0.391559763,1,20,1.833333333,48 b04,10.829
A,4,plate2,48,c04,St19,Evolved,Low,Low,High,2,14008,0.401524934,1,20,1.833333333,48 c04,14.008
A,4,plate2,48,c05,St39,Evolved,Low,High,High,2,13100,0.389597776,1,20,1.833333333,48 c05,13.1
A,4,plate2,48,d04,Ancestor,Ancestor,NA,NA,High,2,11685,0.36740528,1,20,1.833333333,48 d04,11.685
A,4,plate2,48,d06,Sterile,Sterile,NA,NA,High,2,13545,0.395730557,1,20,1.833333333,48 d06,13.545
D,5,plate1,49,a01,Ancestor,Ancestor,NA,NA,High,3,11008,0.396189431,1,20,1.833333333,49 a01,11.008
D,5,plate1,49,a03,Sterile,Sterile,NA,NA,High,3,9153,0.401531973,1,20,1.833333333,49 a03,9.153
D,5,plate1,49,a04,Sterile,Sterile,NA,NA,High,3,12098,0.403753585,1,20,1.833333333,49 a04,12.098
D,5,plate1,49,a05,St1,Evolved,Low,Low,High,3,13307,0.382279102,1,20,1.833333333,49 a05,13.307
D,5,plate1,49,a06,St21,Evolved,Low,High,High,3,9996,0.36821838,1,20,1.833333333,49 a06,9.996
D,5,plate1,49,b01,St41,Evolved,High,Low,High,3,10925,0.388864395,1,20,1.833333333,49 b01,10.925
D,5,plate1,49,b02,St62,Evolved,High,High,High,3,7907,0.398719667,1,20,1.833333333,49 b02,7.907
D,5,plate1,49,b03,St2,Evolved,Low,Low,High,3,5257,0.385784111,1,20,1.833333333,49 b03,5.257
D,5,plate1,49,b04,St22,Evolved,Low,High,High,3,9727,0.389692807,1,20,1.833333333,49 b04,9.727
